topic,title,aliases,category,game
motel_room,Motel Room,,location,Fallout New Vegas
remnants_bunker,Remnants Bunker,,location,Fallout New Vegas
broc_flower_cave,Broc Flower Cave,,location,Fallout New Vegas
unification_monument,Unification Monument,,location,Fallout New Vegas
casa_madrid_apartments,Casa Madrid Apartments,,location,Fallout New Vegas
nevada_highway_patrol_station,Nevada Highway Patrol Station,,location,Fallout New Vegas
brotherhood_of_steel_safehouse,Brotherhood of Steel Safehouse,,location,Fallout New Vegas
goodsprings_source,Goodsprings Source,,location,Fallout New Vegas
ranger_station_delta,Ranger Station Delta,,location,Fallout New Vegas
ranger_morales_corpse,Ranger Morales' Corpse,,location,Fallout New Vegas
nellis_array,Nellis Array,,location,Fallout New Vegas
camp_mccarran_terminal_building,Camp McCarran Terminal Building,,location,Fallout New Vegas
guardian_peak,Guardian Peak,,location,Fallout New Vegas
ranger_station_bravo,Ranger Station Bravo,,location,Fallout New Vegas
brewer_s_beer_bootlegging,Brewer's Beer Bootlegging,,location,Fallout New Vegas
charleston_cave,Charleston Cave,,location,Fallout New Vegas
zapp_s_neon_signs,Zapp's Neon Signs,,location,Fallout New Vegas
cerulean_robotics,Cerulean Robotics,,location,Fallout New Vegas
nipton_town_hall,Nipton Town Hall,,location,Fallout New Vegas
grub_n_gulp_rest_stop,Grub n' Gulp Rest Stop,,location,Fallout New Vegas
yangtze_memorial,Yangtze Memorial,,location,Fallout New Vegas
techatticup_mine,Techatticup Mine,,location,Fallout New Vegas
the_aces,The Aces,,location,Fallout New Vegas
ncr_embassy,NCR Embassy,,location,Fallout New Vegas
ranger_station_echo,Ranger Station Echo,,location,Fallout New Vegas
lone_wolf_radio,Lone Wolf Radio,,location,Fallout New Vegas
wolfhorn_ranch,Wolfhorn Ranch,,location,Fallout New Vegas
goodsprings_cemetery,Goodsprings Cemetery,,location,Fallout New Vegas
caesar_s_legion_safehouse,Caesar's Legion Safehouse,,location,Fallout New Vegas
callville_bay,Callville Bay,,location,Fallout New Vegas
jean_sky_diving,Jean Sky Diving,,location,Fallout New Vegas
clark_field,Clark Field,,location,Fallout New Vegas
dead_wind_cavern,Dead Wind Cavern,,location,Fallout New Vegas
goodsprings_general_store,Goodsprings General Store,,location,Fallout New Vegas
lucky_38_penthouse,Lucky 38 Penthouse,,location,Fallout New Vegas
el_dorado_dry_lake,El Dorado Dry Lake,,location,Fallout New Vegas
east_pump_station,East Pump Station,,location,Fallout New Vegas
goodsprings_schoolhouse,Goodsprings Schoolhouse,,location,Fallout New Vegas
house_resort,House Resort,,location,Fallout New Vegas
nipton_house,Nipton House,,location,Fallout New Vegas
whittaker_farmstead,Whittaker Farmstead,,location,Fallout New Vegas
michael_angelo_s_workshop,Michael Angelo's Workshop,,location,Fallout New Vegas
aerotech_suite_300,Aerotech Suite 300,,location,Fallout New Vegas
old_nuclear_test_site,Old Nuclear Test Site,,location,Fallout New Vegas
bloodborne_cave,Bloodborne Cave,,location,Fallout New Vegas
the_prospector_s_den,The Prospector's Den,,location,Fallout New Vegas
el_dorado_substation,El Dorado Substation,,location,Fallout New Vegas
el_rey_motel,El Rey Motel,,location,Fallout New Vegas
nash_residence,Nash Residence,,location,Fallout New Vegas
matthews_animal_husbandry_farm,Matthews Animal Husbandry Farm,,location,Fallout New Vegas
mesquite_mountains_crater,Mesquite Mountains Crater,,location,Fallout New Vegas
searchlight_airport,Searchlight Airport,,location,Fallout New Vegas
bonnie_springs,Bonnie Springs,,location,Fallout New Vegas
coyote_mines,Coyote Mines,,location,Fallout New Vegas
nellis_hangars,Nellis Hangars,,location,Fallout New Vegas
crescent_canyon_east,Crescent Canyon East,,location,Fallout New Vegas
silver_peak_mine,Silver Peak Mine,,location,Fallout New Vegas
ranger_station_alpha,Ranger Station Alpha,,location,Fallout New Vegas
fremont_street,Fremont Street,,location,Fallout New Vegas
ruby_hill_mine,Ruby Hill Mine,,location,Fallout New Vegas
nipton_road_reststop,Nipton Road Reststop,,location,Fallout New Vegas
ruined_store,Ruined Store (Fallout: New Vegas),,location,Fallout New Vegas
mojave_outpost_barracks,Mojave Outpost Barracks,,location,Fallout New Vegas
goodsprings_gas_station,Goodsprings Gas Station,,location,Fallout New Vegas
monte_carlo_suites,Monte Carlo Suites,,location,Fallout New Vegas
great_khan_encampment,Great Khan Encampment,,location,Fallout New Vegas
crescent_canyon_west,Crescent Canyon West,,location,Fallout New Vegas
the_devil_s_throat,The Devil's Throat,,location,Fallout New Vegas
camp_mccarran_supply_shack,Camp McCarran Supply Shack,,location,Fallout New Vegas
spring_mt_ranch_state_park,Spring Mt. Ranch State Park,,location,Fallout New Vegas
wrecked_highwayman,Wrecked Highwayman,,location,Fallout New Vegas
legion_raid_camp,Legion Raid Camp,,location,Fallout New Vegas
brooks_tumbleweed_ranch,Brooks Tumbleweed Ranch,,location,Fallout New Vegas
arizona_spillway,Arizona Spillway,,location,Fallout New Vegas
nipton_road_pit_stop,Nipton Road Pit Stop,,location,Fallout New Vegas
legate_s_camp,Legate's Camp,,location,Fallout New Vegas
jack_rabbit_springs,Jack Rabbit Springs,,location,Fallout New Vegas
cottonwood_crater,Cottonwood Crater,,location,Fallout New Vegas
coyote_tail_ridge,Coyote Tail Ridge,,location,Fallout New Vegas
searchlight_north_gold_mine,Searchlight North Gold Mine,,location,Fallout New Vegas
camp_mccarran_concourse,Camp McCarran Concourse,,location,Fallout New Vegas
the_basincreek_building,The Basincreek Building,,location,Fallout New Vegas
searchlight_west_church,Searchlight West Church,,location,Fallout New Vegas
el_dorado_gas_and_service,El Dorado Gas & Service,,location,Fallout New Vegas
gypsum_train_yard,Gypsum Train Yard,,location,Fallout New Vegas
ivanpah_dry_lake,Ivanpah Dry Lake,,location,Fallout New Vegas
cell_block_a_and_b,Cell Block A and B,,location,Fallout New Vegas
jacobstown_bungalow,Jacobstown Bungalow,,location,Fallout New Vegas
repair_list,Repair List (Fallout 3),,weapon,Fallout 3
mesmetron,Mesmetron (Fallout 3),,weapon,Fallout 3
frag_mine,Frag Mine (Fallout 3),,weapon,Fallout 3
assault_rifle,Assault Rifle (Fallout 3),,weapon,Fallout 3
sniper_rifle,Sniper Rifle (Fallout 3),,weapon,Fallout 3
miss_launcher,Miss Launcher (Fallout 3),,weapon,Fallout 3
scoped_44_magnum,Scoped .44 Magnum,,weapon,Fallout 3
flamer,Flamer (Fallout 3),,weapon,Fallout 3
laser_pistol,Laser Pistol (Fallout 3),,weapon,Fallout 3
bottlecap_mine,Bottlecap Mine (Fallout 3),,weapon,Fallout 3
silenced_10mm_pistol,Silenced 10mm Pistol,,weapon,Fallout 3
10mm_pistol,10mm Pistol (Fallout 3),,weapon,Fallout 3
gatling_laser,Gatling Laser (Fallout 3),,weapon,Fallout 3
wazer_wifle,Wazer Wifle (Fallout 3),,weapon,Fallout 3
ol_painless,Ol' Painless (Fallout 3),,weapon,Fallout 3
hunting_rifle,Hunting Rifle (Fallout 3),,weapon,Fallout 3
frag_grenade,Frag Grenade (Fallout 3),,weapon,Fallout 3
lincoln_s_repeater,Lincoln's Repeater (Fallout 3),,weapon,Fallout 3
pulse_grenade,Pulse Grenade (Fallout 3),,weapon,Fallout 3
experimental_mirv,Experimental MIRV,,weapon,Fallout 3
rock_it_launcher,Rock-It Launcher,,weapon,Fallout 3
protectron_s_gaze,Protectron's Gaze (Fallout 3),,weapon,Fallout 3
minigun,Minigun (Fallout 3),,weapon,Fallout 3
chinese_officer_s_sword,Chinese Officer's Sword (Fallout 3),,weapon,Fallout 3
colonel_autumn_s_laser_pistol,Colonel Autumn's Laser Pistol (Fallout 3),,weapon,Fallout 3
sydney_s_10mm_ultra_smg,"Sydney's 10mm ""Ultra"" SMG",,weapon,Fallout 3
shishkebab,Shishkebab (Fallout 3),,weapon,Fallout 3
power_fist,Power Fist (Fallout 3),,weapon,Fallout 3
burnmaster,Burnmaster (Fallout 3),,weapon,Fallout 3
combat_knife,Combat Knife (Fallout 3),,weapon,Fallout 3
firelance,Firelance,,weapon,Fallout 3
missile_launcher,Missile Launcher (Fallout 3),,weapon,Fallout 3
vengeance,Vengeance (Fallout 3),,weapon,Fallout 3
sawed_off_shotgun,Sawed-Off Shotgun (Fallout 3),,weapon,Fallout 3
the_shocker,The Shocker,,weapon,Fallout 3
smuggler_s_end,Smuggler's End (Fallout 3),,weapon,Fallout 3
32_pistol,.32 Pistol (Fallout 3),,weapon,Fallout 3
fawkes_super_sledge,Fawkes' Super Sledge,,weapon,Fallout 3
victory_rifle,Victory Rifle (Fallout 3),,weapon,Fallout 3
dart_gun,Dart Gun,,weapon,Fallout 3
euclid_s_c_finder,Euclid's C-Finder,,weapon,Fallout New Vegas
brush_gun,Brush Gun,,weapon,Fallout New Vegas
cowboy_repeater,Cowboy Repeater,,weapon,Fallout New Vegas
hunting_shotgun,Hunting Shotgun,,weapon,Fallout New Vegas
assault_carbine,Assault Carbine,,weapon,Fallout New Vegas
9mm_pistol,9mm Pistol (Fallout: New Vegas),,weapon,Fallout New Vegas
357_magnum_revolver,.357 Magnum Revolver,,weapon,Fallout New Vegas
ycs_186,YCS 186,,weapon,Fallout New Vegas
plasma_caster,Plasma Caster (Fallout: New Vegas),,weapon,Fallout New Vegas
varmint_rifle,Varmint Rifle,,weapon,Fallout New Vegas
q_35_matter_modulator,Q-35 Matter Modulator,,weapon,Fallout New Vegas
grenade_rifle,Grenade Rifle,,weapon,Fallout New Vegas
dynamite,Dynamite (Fallout: New Vegas),,weapon,Fallout New Vegas
pew_pew,Pew Pew,,weapon,Fallout New Vegas
ballistic_fist,Ballistic Fist,,weapon,Fallout New Vegas
tri_beam_laser_rifle,Tri-beam Laser Rifle (Fallout: New Vegas),,weapon,Fallout New Vegas
laser_rcw,Laser RCW,,weapon,Fallout New Vegas
9mm_submachine_gun,9mm Submachine Gun (Fallout: New Vegas),,weapon,Fallout New Vegas
hunting_revolver,Hunting Revolver,,weapon,Fallout New Vegas
abilene_kid_le_bb_gun,Abilene Kid LE BB Gun,,weapon,Fallout New Vegas
44_magnum_revolver,.44 Magnum Revolver (Fallout: New Vegas),,weapon,Fallout New Vegas
12_7mm_submachine_gun,12.7mm Submachine Gun,,weapon,Fallout New Vegas
mercenary_s_grenade_rifle,Mercenary's Grenade Rifle,,weapon,Fallout New Vegas
thump_thump,Thump-Thump,,weapon,Fallout New Vegas
grenade_machinegun,Grenade Machinegun,,weapon,Fallout New Vegas
tesla_beaton_prototype,Tesla-Beaton Prototype,,weapon,Fallout New Vegas
c_4_plastic_explosive,C-4 Plastic Explosive,,weapon,Fallout New Vegas
ranger_sequoia,Ranger Sequoia,,weapon,Fallout New Vegas
aer14_prototype,AER14 Prototype,,weapon,Fallout New Vegas
pulse_gun,Pulse Gun (Fallout: New Vegas),,weapon,Fallout New Vegas
this_machine,This Machine,,weapon,Fallout New Vegas
chainsaw,Chainsaw (Fallout: New Vegas),,weapon,Fallout New Vegas
mysterious_magnum,Mysterious Magnum,,weapon,Fallout New Vegas
paladin_toaster,Paladin Toaster,,weapon,Fallout New Vegas
zap_glove,Zap Glove,,weapon,Fallout New Vegas
multiplas_rifle,Multiplas Rifle,,weapon,Fallout New Vegas
recharger_pistol,Recharger Pistol,,weapon,Fallout New Vegas
10mm_submachine_gun,10mm Submachine Gun (Fallout: New Vegas),,weapon,Fallout New Vegas
plasma_defender,Plasma Defender,,weapon,Fallout New Vegas
lucky,Lucky (Fallout: New Vegas),,weapon,Fallout New Vegas
that_gun,That Gun,,weapon,Fallout New Vegas
chance_s_knife,Chance's Knife,,weapon,Fallout New Vegas
veronica_s_power_fist,Veronica's Power Fist,,weapon,Fallout New Vegas
ratslayer,Ratslayer,,weapon,Fallout New Vegas
light_machine_gun,Light Machine Gun (Fallout: New Vegas),,weapon,Fallout New Vegas
la_longue_carabine,La Longue Carabine,,weapon,Fallout New Vegas
prototype_medic_power_armor,Prototype Medic Power Armor,,armor,Fallout 3
t_51b_power_armor,T-51b Power Armor (Fallout 3),,armor,Fallout 3
t_51b_power_helmet,T-51b Power Helmet (Fallout 3),,armor,Fallout 3
recon_armor,Recon Armor (Fallout 3),,armor,Fallout 3
metal_armor,Metal Armor (Fallout 3),,armor,Fallout 3
enclave_power_armor,Enclave Power Armor (Fallout 3),,armor,Fallout 3
ranger_battle_armor,Ranger Battle Armor,,armor,Fallout 3
brotherhood_power_armor,Brotherhood Power Armor,,armor,Fallout 3
linden_s_outcast_power_armor,Linden's Outcast Power Armor,,armor,Fallout 3
power_helmet,Power Helmet (Fallout 3),,armor,Fallout 3
tesla_helmet,Tesla Helmet (Fallout 3),,armor,Fallout 3
lyons_pride_power_armor,Lyons' Pride Power Armor,,armor,Fallout 3
rivet_city_security_uniform,Rivet City Security Uniform,,armor,Fallout 3
tenpenny_security_uniform,Tenpenny Security Uniform,,armor,Fallout 3
raider_blastmaster_helmet,Raider Blastmaster Helmet (Fallout 3),,armor,Fallout 3
outcast_power_armor,Outcast Power Armor,,armor,Fallout 3
raider_blastmaster_armor,Raider Blastmaster Armor (Fallout 3),,armor,Fallout 3
leather_rebel,Leather Rebel,,armor,Fallout 3
raider_painspike_armor,Raider Painspike Armor (Fallout 3),,armor,Fallout 3
rivet_city_security_helmet,Rivet City Security Helmet,,armor,Fallout 3
army_power_armor,Army Power Armor,,armor,Fallout 3
raider_armor,Raider Armor (Fallout 3),,armor,Fallout 3
talon_combat_armor,Talon Combat Armor,,armor,Fallout 3
the_mechanist_s_costume,The Mechanist's Costume,,armor,Fallout 3
stealth_suit_mk_ii,Stealth Suit Mk II,,armor,Fallout New Vegas
t_45d_power_armor,T-45d Power Armor (Fallout: New Vegas),,armor,Fallout New Vegas
brotherhood_t_51b_power_armor,Brotherhood T-51b Power Armor,,armor,Fallout New Vegas
ncr_ranger_patrol_armor,NCR Ranger Patrol Armor,,armor,Fallout New Vegas
ncr_salvaged_power_armor,NCR Salvaged Power Armor,,armor,Fallout New Vegas
remnants_power_helmet,Remnants Power Helmet,,armor,Fallout New Vegas
gannon_family_tesla_armor,Gannon Family Tesla Armor,,armor,Fallout New Vegas
space_suit,Space Suit (Fallout: New Vegas),,armor,Fallout New Vegas
leather_armor_reinforced,"Leather Armor, Reinforced",,armor,Fallout New Vegas
legion_centurion_armor,Legion Centurion Armor,,armor,Fallout New Vegas
van_graff_combat_armor,Van Graff Combat Armor,,armor,Fallout New Vegas
brotherhood_t_45d_power_armor,Brotherhood T-45d Power Armor,,armor,Fallout New Vegas
scorched_sierra_power_armor,Scorched Sierra Power Armor,,armor,Fallout New Vegas
riot_gear_helmet,Riot Gear Helmet,,armor,Fallout New Vegas
ranger_outfit,Ranger Outfit (Fallout: New Vegas),,armor,Fallout New Vegas
armored_vault_21_jumpsuit,Armored Vault 21 Jumpsuit,,armor,Fallout New Vegas
armored_vault_13_jumpsuit,Armored Vault 13 Jumpsuit,,armor,Fallout New Vegas
vault_34_security_armor,Vault 34 Security Armor,,armor,Fallout New Vegas
lightweight_metal_armor,Lightweight Metal Armor,,armor,Fallout New Vegas
raul_armor,Raul Armor,,armor,Fallout New Vegas
combat_armor_reinforced,"Combat Armor, Reinforced",,armor,Fallout New Vegas
t_45d_power_helmet,T-45d Power Helmet (Fallout: New Vegas),,armor,Fallout New Vegas
legion_vexillarius_armor,Legion Vexillarius Armor,,armor,Fallout New Vegas
lightweight_leather_armor,Lightweight Leather Armor,,armor,Fallout New Vegas
sugar_bombs,Sugar Bombs (Fallout 3),,food_drink,Fallout 3
mirelurk_cake,Mirelurk Cake (Fallout 3),,food_drink,Fallout 3
cave_fungus,Cave Fungus (Fallout 3),,food_drink,Fallout 3
gum_drops,Gum Drops (Fallout 3),,food_drink,Fallout 3
bubblegum,Bubblegum (Fallout 3),,food_drink,Fallout 3
refined_punga_fruit,Refined Punga Fruit,,food_drink,Fallout 3
slop,Slop,,food_drink,Fallout 3
salisbury_steak,Salisbury Steak (Fallout 3),,food_drink,Fallout 3
miss_quantum_pie,Miss. Quantum Pie,,food_drink,Fallout 3
sweetroll,Sweetroll,,food_drink,Fallout 3
fresh_potato,Fresh Potato (Fallout 3),,food_drink,Fallout 3
strange_meat,Strange Meat (Fallout 3),,food_drink,Fallout 3
mirelurk_meat,Mirelurk Meat (Fallout 3),,food_drink,Fallout 3
nukalurk_meat,NukaLurk Meat (Fallout 3),,food_drink,Fallout 3
nuka_cola_quantum,Nuka-Cola Quantum (Fallout 3),,food_drink,Fallout 3
aqua_pura,Aqua Pura,,food_drink,Fallout 3
holy_water,Holy Water,,food_drink,Fallout 3
purified_water,Purified Water (Fallout 3),,food_drink,Fallout 3
aqua_cura,Aqua Cura,,food_drink,Fallout 3
salient_green,Salient Green,,food_drink,Fallout New Vegas
blood_sausage,Blood Sausage,,food_drink,Fallout New Vegas
gecko_steak,Gecko Steak,,food_drink,Fallout New Vegas
gecko_kebab,Gecko Kebab,,food_drink,Fallout New Vegas
trail_mix,Trail Mix,,food_drink,Fallout New Vegas
thick_red_paste,Thick Red Paste,,food_drink,Fallout New Vegas
thin_red_paste,Thin Red Paste,,food_drink,Fallout New Vegas
radroach_meat,Radroach Meat (Fallout: New Vegas),,food_drink,Fallout New Vegas
yao_guai_meat,Yao Guai Meat (Fallout: New Vegas),,food_drink,Fallout New Vegas
human_flesh,Human Flesh (Fallout: New Vegas),,food_drink,Fallout New Vegas
mre,MRE,,food_drink,Fallout New Vegas
blamco_mac_and_cheese,BlamCo Mac & Cheese (Fallout: New Vegas),,food_drink,Fallout New Vegas
pork_n_beans,Pork N' Beans (Fallout: New Vegas),,food_drink,Fallout New Vegas
fancy_lads_snack_cakes,Fancy Lads Snack Cakes (Fallout: New Vegas),,food_drink,Fallout New Vegas
potato_crisps,Potato Crisps (Fallout: New Vegas),,food_drink,Fallout New Vegas
nuka_cola_quartz,Nuka-Cola Quartz (Fallout: New Vegas),,food_drink,Fallout New Vegas
nuka_cola_victory,Nuka-Cola Victory (Fallout: New Vegas),,food_drink,Fallout New Vegas
whiskey,Whiskey (Fallout: New Vegas),,food_drink,Fallout New Vegas
battle_brew,Battle Brew,,food_drink,Fallout New Vegas
wine,Wine (Fallout: New Vegas),,food_drink,Fallout New Vegas
ice_cold_nuka_cola,Ice Cold Nuka-Cola (Fallout: New Vegas),,food_drink,Fallout New Vegas
irr_sunset_sars,Irr. Sunset Sars.,,food_drink,Fallout New Vegas
dirty_water,Dirty Water (Fallout: New Vegas),,food_drink,Fallout New Vegas
irradiated_water,Irradiated Water,,food_drink,Fallout New Vegas
ultrajet,Ultrajet (Fallout 3),,medicine,Fallout 3
alien_biogel,Alien Biogel,,medicine,Fallout 3
adapted_biogel,Adapted Biogel (Fallout 3),,medicine,Fallout 3
fire_ant_nectar,Fire Ant Nectar (Fallout 3),,medicine,Fallout 3
blood_pack,Blood Pack (Fallout 3),,medicine,Fallout 3
ant_queen_pheromones,Ant Queen Pheromones (Fallout 3),,medicine,Fallout 3
ant_nectar,Ant Nectar (Fallout 3),,medicine,Fallout 3
turbo,Turbo,,medicine,Fallout New Vegas
weapon_binding_ritual,Weapon Binding Ritual,,medicine,Fallout New Vegas
coyote_tobacco_chew,Coyote Tobacco Chew,,medicine,Fallout New Vegas
doctor_s_bag,Doctor's Bag (Fallout: New Vegas),,medicine,Fallout New Vegas
steady,Steady,,medicine,Fallout New Vegas
healing_poultice,Healing Poultice,,medicine,Fallout New Vegas
auto_inject_stimpak,Auto-Inject Stimpak,,medicine,Fallout New Vegas
auto_inject_super_stimpak,Auto-Inject Super Stimpak,,medicine,Fallout New Vegas
rocket_consumable,Rocket (consumable),,medicine,Fallout New Vegas
party_time_mentats,Party Time Mentats,,medicine,Fallout New Vegas
tremble,Tremble,,medicine,Fallout New Vegas
cloud_kiss_lethal,Cloud Kiss (Lethal),,medicine,Fallout New Vegas
cloud_kiss_weak,Cloud Kiss (Weak),,medicine,Fallout New Vegas
schematics_shishkebab,Schematics - Shishkebab,,item,Fallout 3
lunchbox,Lunchbox (Fallout 3),,item,Fallout 3
schematics_dart_gun,Schematics - Dart Gun,,item,Fallout 3
schematics_deathclaw_gauntlet,Schematics - Deathclaw Gauntlet,,item,Fallout 3
surgical_tubing,Surgical Tubing (Fallout 3),,item,Fallout 3
turpentine,Turpentine (Fallout 3),,item,Fallout 3
cherry_bomb,Cherry Bomb (Fallout 3),,item,Fallout 3
schematics_rock_it_launcher,Schematics - Rock-It Launcher,,item,Fallout 3
motorcycle_handbrake,Motorcycle Handbrake (Fallout 3),,item,Fallout 3
sensor_module,Sensor Module (Fallout 3),,item,Fallout 3
campfire,Campfire (Fallout: New Vegas),,item,Fallout New Vegas
skill_book_recipe,Skill Book Recipe,,item,Fallout New Vegas
workbench,Workbench (Fallout: New Vegas),,item,Fallout New Vegas
reloading_bench,Reloading Bench,,item,Fallout New Vegas
lead_metal,Lead (metal),,item,Fallout New Vegas
fission_battery,Fission Battery (Fallout: New Vegas),,item,Fallout New Vegas
pressure_cooker,Pressure Cooker (Fallout: New Vegas),,item,Fallout New Vegas
empty_soda_bottle,Empty Soda Bottle (Fallout: New Vegas),,item,Fallout New Vegas
radscorpion_poison_gland,Radscorpion Poison Gland (Fallout: New Vegas),,item,Fallout New Vegas
flour,Flour (Fallout: New Vegas),,item,Fallout New Vegas
steam_gauge_assembly,Steam Gauge Assembly (Fallout: New Vegas),,item,Fallout New Vegas
wonderglue,Wonderglue (Fallout: New Vegas),,item,Fallout New Vegas
scrap_electronics,Scrap Electronics,,item,Fallout New Vegas
case_45_auto,"Case, .45 Auto",,item,Fallout New Vegas
alien_power_cell,Alien Power Cell (Fallout 3),,item,Fallout 3
44_round_magnum,".44 Round, Magnum (Fallout 3)",,item,Fallout 3
308_caliber_round,.308 Caliber Round (Fallout 3),,item,Fallout 3
electron_charge_pack,Electron Charge Pack (Fallout 3),,item,Fallout 3
missile,Missile (Fallout 3),,item,Fallout 3
32_caliber_round,.32 Caliber Round,,item,Fallout 3
energy_cell,Energy Cell (Fallout 3),,item,Fallout 3
5_56mm_round,5.56mm Round (Fallout 3),,item,Fallout 3
10mm_round,10mm Round (Fallout 3),,item,Fallout 3
shotgun_shell,Shotgun Shell (Fallout 3),,item,Fallout 3
12_gauge_round,12 Gauge Round,,item,Fallout New Vegas
microfusion_cell,Microfusion Cell (Fallout: New Vegas),,item,Fallout New Vegas
50_mg,.50 MG,,item,Fallout New Vegas
5mm_round,5mm Round (Fallout: New Vegas),,item,Fallout New Vegas
12_7mm_round,12.7mm Round,,item,Fallout New Vegas
9mm_round,9mm Round (Fallout: New Vegas),,item,Fallout New Vegas
20_gauge_round,20 Gauge Round,,item,Fallout New Vegas
357_magnum_round,.357 Magnum Round,,item,Fallout New Vegas
45_70_gov_t,.45-70 Gov't,,item,Fallout New Vegas
44_magnum_round,.44 Magnum Round (Fallout: New Vegas),,item,Fallout New Vegas
flamer_fuel,Flamer Fuel (Fallout: New Vegas),,item,Fallout New Vegas
40mm_grenade,40mm Grenade (Fallout: New Vegas),,item,Fallout New Vegas
308_round,.308 Round (Fallout: New Vegas),,item,Fallout New Vegas
25mm_grenade,25mm Grenade,,item,Fallout New Vegas
dog,Dog (Fallout 3),,creature,Fallout 3
swamplurk,Swamplurk,,creature,Fallout 3
vulture,Vulture (Fallout 3),,creature,Fallout 3
giant_rat,Giant Rat (Fallout: New Vegas),,creature,Fallout New Vegas
bark_scorpion,Bark Scorpion,,creature,Fallout New Vegas
ant,Ant (Fallout: New Vegas),,creature,Fallout New Vegas
fish,Fish (Fallout: New Vegas),,creature,Fallout New Vegas
spore_plant,Spore Plant (Fallout: New Vegas),,creature,Fallout New Vegas
green_gecko,Green Gecko,,creature,Fallout New Vegas
coyote,Coyote (Fallout: New Vegas),,creature,Fallout New Vegas
fire_gecko,Fire Gecko (Fallout: New Vegas),,creature,Fallout New Vegas
golden_gecko,Golden Gecko (Fallout: New Vegas),,creature,Fallout New Vegas
turret,Turret (Fallout 3),,robot,Fallout 3
spider_drone,Spider Drone,,robot,Fallout 3
drone,Drone,,robot,Fallout 3
creosote,Creosote (Fallout: New Vegas),,flora,Fallout New Vegas
fan_palm,Fan Palm,,flora,Fallout New Vegas
the_railroad,The Railroad,,faction,Fallout 3
tunnel_snakes,Tunnel Snakes,,faction,Fallout 3
rivet_city_security_force,Rivet City Security Force,,faction,Fallout 3
abolitionists,Abolitionists,,faction,Fallout 3
raiders,Raiders (Fallout 3),,faction,Fallout 3
regulators_faction,Regulators (faction),,faction,Fallout 3
pitt_slaves_faction,Pitt Slaves (Faction),,faction,Fallout 3
littlehorn_and_associates,Littlehorn & Associates,,faction,Fallout 3
rivet_city_council,Rivet City Council,,faction,Fallout 3
bandits_faction,Bandits (Faction),,faction,Fallout 3
smuggler_faction,Smuggler (faction),,faction,Fallout 3
2nd_monument_defense_detachment,2nd Monument Defense Detachment,,faction,Fallout 3
gun_runners_faction,Gun Runners (Faction),,faction,Fallout New Vegas
new_california_republic_rangers,New California Republic Rangers,,faction,Fallout New Vegas
first_recon,First Recon,,faction,Fallout New Vegas
new_canaanites,New Canaanites,,faction,Fallout New Vegas
kings,Kings,,faction,Fallout New Vegas
three_families,Three Families,,faction,Fallout New Vegas
davison_s_nightkin,Davison's Nightkin,,faction,Fallout New Vegas
jackals,Jackals,,faction,Fallout New Vegas
scorpions_gang,Scorpions (gang),,faction,Fallout New Vegas
think_tank,Think Tank,,faction,Fallout New Vegas
happy_trails_caravan_company,Happy Trails Caravan Company,,faction,Fallout New Vegas
maud_s_muggers,Maud's Muggers,,faction,Fallout New Vegas
westside_militia,Westside Militia,,faction,Fallout New Vegas
greasers,Greasers,,faction,Fallout New Vegas
bravo_company,Bravo Company,,faction,Fallout New Vegas
alpha_squad,Alpha Squad,,faction,Fallout New Vegas
free_economic_zone_of_new_vegas,Free Economic Zone of New Vegas,,faction,Fallout New Vegas
bravo_team,Bravo Team,,faction,Fallout New Vegas
vance,Vance (Fallout 3),,person,Fallout 3
dave,Dave (Fallout 3),,person,Fallout 3
the_overseer_vault_101,The Overseer (Vault 101),,person,Fallout 3
mysterious_stranger_character,Mysterious Stranger (Character),,person,Fallout 3
sierra_petrovita,Sierra Petrovita (Fallout 3),,person,Fallout 3
raider,Raider (Fallout 3),,person,Fallout 3
stanislaus_braun,Stanislaus Braun,,person,Fallout 3
harkness,Harkness (Fallout 3),,person,Fallout 3
enclave_soldier,Enclave Soldier (Fallout 3),,person,Fallout 3
mayor_maccready,Mayor MacCready (Fallout 3),,person,Fallout 3
talon_company_merc,Talon Company Merc,,person,Fallout 3
shorty,Shorty (Fallout 3),,person,Fallout 3
machete_character,Machete (character),,person,Fallout 3
micky,Micky (Fallout 3),,person,Fallout 3
red,Red (Fallout 3),,person,Fallout 3
stanley,Stanley (Fallout 3),,person,Fallout 3
the_mechanist,The Mechanist (Fallout 3),,person,Fallout 3
sawbones,Sawbones (Fallout 3),,person,Fallout 3
lone_wanderer,Lone Wanderer,,person,Fallout 3
pappy,Pappy,,person,Fallout 3
scribe_bowditch,Scribe Bowditch,,person,Fallout 3
bob_tree,Bob (tree),,person,Fallout 3
breadbox,Breadbox,,person,Fallout 3
arcade_gannon,Arcade Gannon,,person,Fallout New Vegas
courier,Courier,,person,Fallout New Vegas
the_king,The King,,person,Fallout New Vegas
vulpes_inculta,Vulpes Inculta,,person,Fallout New Vegas
colonel_cassandra_moore,Colonel Cassandra Moore,,person,Fallout New Vegas
julie_farkas,Julie Farkas,,person,Fallout New Vegas
red_lucy,Red Lucy,,person,Fallout New Vegas
trudy,Trudy (Fallout: New Vegas),,person,Fallout New Vegas
manny_vargas,Manny Vargas,,person,Fallout New Vegas
no_bark_noonan,No-bark Noonan,,person,Fallout New Vegas
johnson_nash,Johnson Nash,,person,Fallout New Vegas
legionary_assassin,Legionary Assassin,,person,Fallout New Vegas
