stable_identity,defining_plugin,local_formid,runtime_formid,winning_plugin,editor_id,display_name,race,creature_type,sex,model,voice_type,template,placed_references,leveled_references,dialogue_references,total_references,deleted,initially_disabled,classification,classification_reason,profile_id
FalloutNV.esm|00094880,FalloutNV.esm,00094880,00094880,TaleOfTwoWastelands.esm,NtlGuardDepotCrSentryBotGL,Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBotDC [VTYP:06019FDB],CrSentryBotGLArmyDC [CREA:060A5C6E],0,2,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00094881,FalloutNV.esm,00094881,00094881,TaleOfTwoWastelands.esm,NtlGuardDepotCrSentryBotMG,Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBotDC [VTYP:06019FDB],CrSentryBotMGArmyDC [CREA:060A5C6F],0,2,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00094BCE,FalloutNV.esm,00094BCE,00094BCE,YUPTTW.esm,DEADCaravanBrahmin,Pack Brahmin,,,unknown,Creatures\Brahmin\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahmin [CREA:0001CFA2],0,0,0,7,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,brahmin
FalloutNV.esm|00094EC5,FalloutNV.esm,00094EC5,00094EC5,TaleOfTwoWastelands.esm,CrSuperMutant1GunB,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1GunA [CREA:0001CF93],0,2,0,2,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094EC6,FalloutNV.esm,00094EC6,00094EC6,TaleOfTwoWastelands.esm,CrSuperMutant1MeleeB,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1MeleeA [CREA:0003A147],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094EC7,FalloutNV.esm,00094EC7,00094EC7,TaleOfTwoWastelands.esm,CrSuperMutant2GunB,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2GunA [CREA:00027FB3],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094EC8,FalloutNV.esm,00094EC8,00094EC8,TaleOfTwoWastelands.esm,CrSuperMutant2MeleeB,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2MeleeA [CREA:0003A148],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094EC9,FalloutNV.esm,00094EC9,00094EC9,TaleOfTwoWastelands.esm,CrSuperMutant2MinigunB,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2MinigunA [CREA:00092C4F],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094ECA,FalloutNV.esm,00094ECA,00094ECA,TaleOfTwoWastelands.esm,CrSuperMutant2MissileLauncherB,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2MissileLauncherA [CREA:00092C49],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094ECB,FalloutNV.esm,00094ECB,00094ECB,TaleOfTwoWastelands.esm,CrSuperMutant3GunB,Super Mutant Master,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant3GunA [CREA:00092C4D],0,5,0,2,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094ECC,FalloutNV.esm,00094ECC,00094ECC,TaleOfTwoWastelands.esm,CrSuperMutant3MeleeB,Super Mutant Master,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant3MeleeA [CREA:00092C4E],0,5,0,2,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094ECD,FalloutNV.esm,00094ECD,00094ECD,TaleOfTwoWastelands.esm,CrSuperMutant3MinigunB,Super Mutant Master,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant3MinigunA [CREA:00027FB2],0,5,0,2,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00094ECE,FalloutNV.esm,00094ECE,00094ECE,TaleOfTwoWastelands.esm,CrSuperMutant3MissileLauncherB,Super Mutant Master,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant3MissileLauncherA [CREA:0003A149],0,5,0,2,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00095D25,FalloutNV.esm,00095D25,00095D25,TaleOfTwoWastelands.esm,DeadEyebotEnclave,Enclave Eyebot,,,unknown,Creatures\Eyebot\Skeleton.nif,,,0,0,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00097161,FalloutNV.esm,00097161,00097161,Fallout3.esm,FFSupermutantCaptiveCaptor,,,,unknown,,,FFSuperMutantRandomDC [LVLC:060A86EA],0,0,0,5,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|00097F30,FalloutNV.esm,00097F30,00097F30,Fallout3.esm,FFMutantCamp01Behemoth,Super Mutant Behemoth,,,unknown,Creatures\SMBehemoth\Skeleton.nif,CreatureSupMutBehemoth [VTYP:00022429],CrSuperMutantBehemoth [CREA:0001CF95],0,0,0,2,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00099D20,FalloutNV.esm,00099D20,00099D20,FalloutNV.esm,LvlGutsy,,,,unknown,,,EncGutsy [LVLC:00099D26],0,0,0,3,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|00099D21,FalloutNV.esm,00099D21,00099D21,FalloutNV.esm,LvlTurretCeiling2048Robot,,,,unknown,marker_creature.nif,RobotEyebot [VTYP:00040D41],LvlTurretCeiling1024 [CREA:000251AA],0,0,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00099D24,FalloutNV.esm,00099D24,00099D24,TaleOfTwoWastelands.esm,CrMisterGutsyPrototype,Mister Gutsy Prototype,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterGutsy [VTYP:00019FDD],,0,3,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0009A252,FalloutNV.esm,0009A252,0009A252,FalloutNV.esm,LvlStasisRobot,,,,unknown,,,EncStasisRobot [LVLC:0009A255],0,0,0,5,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0009A253,FalloutNV.esm,0009A253,0009A253,TaleOfTwoWastelands.esm,VHeliosStasisProtectron,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectron [VTYP:00019FDA],genericOfficeProtectron [CREA:0003995B],0,5,0,1,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0009B172,FalloutNV.esm,0009B172,0009B172,TaleOfTwoWastelands.esm,CG03Andy,Andy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterHandyDC [VTYP:06019FDC],CrMisterHandyDC [CREA:0602977A],0,0,6,7,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0009B8DB,FalloutNV.esm,0009B8DB,0009B8DB,TaleOfTwoWastelands.esm,AudioTemplateBlowFly,AudioTemplateBlowFly,,,unknown,,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,9,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|0009BE81,FalloutNV.esm,0009BE81,0009BE81,Fallout3.esm,ChevyChaseSchoolMutant01,,,,unknown,marker_creature.nif,,LvlSupermutantGunDC [CREA:0603A6FD],0,0,0,2,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|0009CBB0,FalloutNV.esm,0009CBB0,0009CBB0,Fallout3.esm,chryslus02SMBoss,,,,unknown,,,EncSuperMutantMinigunDC [LVLC:06092C53],0,0,0,1,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|0009E896,FalloutNV.esm,0009E896,0009E896,Fallout3.esm,LDGermHQSuperMutant3rdFloorB,,,,unknown,,,EncSuperMutantGunDC [LVLC:0602359F],0,0,6,7,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|0009E897,FalloutNV.esm,0009E897,0009E897,Fallout3.esm,LDGermHQSuperMutant3rdFloorA,,,,unknown,,,EncSuperMutantGunDC [LVLC:0602359F],0,0,6,7,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|0009E8DE,FalloutNV.esm,0009E8DE,0009E8DE,TaleOfTwoWastelands.esm,CrSuperMutant2GunC,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2GunA [CREA:00027FB3],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E0,FalloutNV.esm,0009E8E0,0009E8E0,TaleOfTwoWastelands.esm,CrSuperMutant2MeleeC,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2MeleeA [CREA:0003A148],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E1,FalloutNV.esm,0009E8E1,0009E8E1,TaleOfTwoWastelands.esm,CrSuperMutant2MinigunC,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2MinigunA [CREA:00092C4F],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E2,FalloutNV.esm,0009E8E2,0009E8E2,TaleOfTwoWastelands.esm,CrSuperMutant2MissileLauncherC,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant2MissileLauncherA [CREA:00092C49],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E3,FalloutNV.esm,0009E8E3,0009E8E3,TaleOfTwoWastelands.esm,CrSuperMutant1GunC,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1GunA [CREA:0001CF93],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E4,FalloutNV.esm,0009E8E4,0009E8E4,TaleOfTwoWastelands.esm,CrSuperMutant1MeleeC,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1MeleeA [CREA:0003A147],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E5,FalloutNV.esm,0009E8E5,0009E8E5,TaleOfTwoWastelands.esm,CrSuperMutant1GunD,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1GunA [CREA:0001CF93],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E6,FalloutNV.esm,0009E8E6,0009E8E6,TaleOfTwoWastelands.esm,CrSuperMutant1GunE,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1GunA [CREA:0001CF93],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E7,FalloutNV.esm,0009E8E7,0009E8E7,TaleOfTwoWastelands.esm,CrSuperMutant1GunF,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1GunA [CREA:0001CF93],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E8,FalloutNV.esm,0009E8E8,0009E8E8,TaleOfTwoWastelands.esm,CrSuperMutant1MeleeD,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1MeleeA [CREA:0003A147],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8E9,FalloutNV.esm,0009E8E9,0009E8E9,TaleOfTwoWastelands.esm,CrSuperMutant1MeleeE,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1MeleeA [CREA:0003A147],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009E8EA,FalloutNV.esm,0009E8EA,0009E8EA,TaleOfTwoWastelands.esm,CrSuperMutant1MeleeF,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],CrSuperMutant1MeleeA [CREA:0003A147],0,2,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0009EE04,FalloutNV.esm,0009EE04,0009EE04,Fallout3.esm,CapitolBuildingSupermutant,,,,unknown,,,EncSuperMutantGunDC [LVLC:0602359F],0,0,0,8,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|0009FAFA,FalloutNV.esm,0009FAFA,0009FAFA,TaleOfTwoWastelands.esm,CrFeralGhoul1A,Feral Ghoul,,,unknown,Creatures\Ghoul\Skeleton.nif,CreatureFeralGhoul [VTYP:0007AE96],,0,4,0,4,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,feral_ghoul
FalloutNV.esm|0009FAFB,FalloutNV.esm,0009FAFB,0009FAFB,TaleOfTwoWastelands.esm,CrFeralGhoul2A,Feral Ghoul Roamer,,,unknown,Creatures\Ghoul\Skeleton.nif,CreatureFeralGhoul [VTYP:0007AE96],,0,4,0,5,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,feral_ghoul_roamer
FalloutNV.esm|000A00E6,FalloutNV.esm,000A00E6,000A00E6,Fallout3.esm,RHSSuperMutantBoss,,,,unknown,marker_creature.nif,,LvlSupermutantMinigunDC [CREA:06092C4B],0,0,0,1,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A11FA,FalloutNV.esm,000A11FA,000A11FA,TaleOfTwoWastelands.esm,FFCorpseRoach,Radroach,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadroachDC [CREA:0601CF7C],0,0,0,10,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,radroach
FalloutNV.esm|000A25B1,FalloutNV.esm,000A25B1,000A25B1,TaleOfTwoWastelands.esm,RadroachTravel,Radroach,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadroach [CREA:0001CF7C],0,0,0,2,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,radroach
FalloutNV.esm|000A289F,FalloutNV.esm,000A289F,000A289F,TaleOfTwoWastelands.esm,DeadMirelurk01,Mirelurk,,,unknown,Creatures\Mirelurk\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,5,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,mirelurk
FalloutNV.esm|000A29F4,FalloutNV.esm,000A29F4,000A29F4,TaleOfTwoWastelands.esm,DeadMirelurk02,Mirelurk,,,unknown,Creatures\Mirelurk\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrMirelurk1 [CREA:0001CF83],0,0,0,3,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,mirelurk
FalloutNV.esm|000A3D15,FalloutNV.esm,000A3D15,000A3D15,TaleOfTwoWastelands.esm,DeadMoleRat,Mole Rat Corpse,,,unknown,Creatures\MoleRat\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,26,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|000A4426,FalloutNV.esm,000A4426,000A4426,TaleOfTwoWastelands.esm,DeadProtectron,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectronDC [VTYP:06019FDA],CrProtectronDC [CREA:0601CF8F],0,0,0,7,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A4524,FalloutNV.esm,000A4524,000A4524,FalloutNV.esm,ForgeLvlRobot,,,,unknown,,,EncRobot [LVLC:000235A0],0,0,0,4,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A4527,FalloutNV.esm,000A4527,000A4527,TaleOfTwoWastelands.esm,ForgeCrProtectronDEAD,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectronDC [VTYP:06019FDA],,0,0,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A4528,FalloutNV.esm,000A4528,000A4528,TaleOfTwoWastelands.esm,ForgeCrProtectronDEAD02,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectronDC [VTYP:06019FDA],,0,0,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A4529,FalloutNV.esm,000A4529,000A4529,TaleOfTwoWastelands.esm,ForgeCrProtectronDEAD03,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectronDC [VTYP:06019FDA],,0,0,0,4,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A46F4,FalloutNV.esm,000A46F4,000A46F4,FalloutNV.esm,CrDogNCR,NCR Guard Dog,,,unknown,Creatures\Dog\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrDogVicious [CREA:0001CFA3],0,0,0,2,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|000A46F5,FalloutNV.esm,000A46F5,000A46F5,FalloutNV.esm,CrDogNCRFollow,NCR Guard Dog,,,unknown,Creatures\Dog\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrDogNCR [CREA:000A46F4],0,0,0,4,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|000A4E5D,FalloutNV.esm,000A4E5D,000A4E5D,YUPTTW.esm,CrBrahminPackA,Brahmin,,,unknown,Creatures\Brahmin\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahmin [CREA:0001CFA2],0,2,0,6,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,brahmin
FalloutNV.esm|000A4E5E,FalloutNV.esm,000A4E5E,000A4E5E,FalloutNV.esm,CrBrahminPackB,Brahmin,,,unknown,Creatures\Brahmin\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahminPackA [CREA:000A4E5D],0,2,0,2,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,brahmin
FalloutNV.esm|000A4E60,FalloutNV.esm,000A4E60,000A4E60,Fallout3.esm,FFER05Brahmin,,,,unknown,,,VarBrahminPackDC [LVLC:060A4E5F],0,0,0,3,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A5396,FalloutNV.esm,000A5396,000A5396,Fallout3.esm,FFER73Brahmin,,,,unknown,,,VarBrahminPackDC [LVLC:060A4E5F],0,0,0,6,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A592B,FalloutNV.esm,000A592B,000A592B,TaleOfTwoWastelands.esm,CrProtectronArmy,Army Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectron [VTYP:00019FDA],CrProtectron [CREA:0001CF8F],0,6,0,4,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A5C6C,FalloutNV.esm,000A5C6C,000A5C6C,FalloutNV.esm,CrRobobrainArmy,Robobrain,,,unknown,Creatures\Robobrain\skeleton.nif,RobotRoboBrain [VTYP:00019FDE],CrRobobrain [CREA:0001CF89],0,6,0,4,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A5C6E,FalloutNV.esm,000A5C6E,000A5C6E,FalloutNV.esm,CrSentryBotGLArmy,Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBot [VTYP:00019FDB],CrSentryBotGL [CREA:0001CF8A],0,3,0,12,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A5C6F,FalloutNV.esm,000A5C6F,000A5C6F,FalloutNV.esm,CrSentryBotMGArmy,Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBot [VTYP:00019FDB],CrSentryBotMG [CREA:0005F9CA],0,3,0,5,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A5C70,FalloutNV.esm,000A5C70,000A5C70,FalloutNV.esm,LvlRobotArmy,,,,unknown,,,EncRobotArmy [LVLC:000A5C75],0,0,0,47,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A5C72,FalloutNV.esm,000A5C72,000A5C72,FalloutNV.esm,LvlRobotOutcast,,,,unknown,marker_creature.nif,,EncRobotOutcast [LVLC:000235A4],0,0,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A5D3A,FalloutNV.esm,000A5D3A,000A5D3A,FalloutNV.esm,LvlTurretCeiling1024RobotOFF,,,,unknown,marker_creature.nif,,LvlTurretCeiling1024 [CREA:000251AA],0,0,0,16,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A5D40,FalloutNV.esm,000A5D40,000A5D40,FalloutNV.esm,AudioTemplateDeathclaw,AudioTemplateDeathclaw,,,unknown,,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,65,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|000A5D48,FalloutNV.esm,000A5D48,000A5D48,Fallout3.esm,LLMurderPassAmbush01LvlSupermutantMelee,,,,unknown,marker_creature.nif,,EncSuperMutantMeleeDC [LVLC:0603A14A],0,0,0,1,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A5D4E,FalloutNV.esm,000A5D4E,000A5D4E,Fallout3.esm,LLMurderPassAmbush02LvlSupermutantMelee,,,,unknown,marker_creature.nif,,EncSuperMutantMeleeDC [LVLC:0603A14A],0,0,0,1,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A6000,FalloutNV.esm,000A6000,000A6000,TaleOfTwoWastelands.esm,DEADDeathClaw,Deathclaw,,,unknown,Creatures\DeathClaw\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrDeathClaw [CREA:0001CF9A],0,0,0,1,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,deathclaw
FalloutNV.esm|000A6090,FalloutNV.esm,000A6090,000A6090,FalloutNV.esm,Vault92Mirelurk,,,,unknown,,,EncMirelurk [LVLC:000235A2],0,0,0,11,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A6551,FalloutNV.esm,000A6551,000A6551,Fallout3.esm,RHSSuperMutantAmbusher,,,,unknown,,,EncSuperMutantGunDC [LVLC:0602359F],0,0,0,1,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A692B,FalloutNV.esm,000A692B,000A692B,FalloutNV.esm,CrDogNCRAggressive,NCR Guard Dog,,,unknown,Creatures\Dog\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrDogNCR [CREA:000A46F4],0,0,0,3,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|000A84B8,FalloutNV.esm,000A84B8,000A84B8,TaleOfTwoWastelands.esm,CrTurretCeiling01,Mark I Turret,,,unknown,Creatures\MiniSentryTurret\Skeleton.nif,RobotEyebot [VTYP:00040D41],,0,3,0,14,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A84BA,FalloutNV.esm,000A84BA,000A84BA,TaleOfTwoWastelands.esm,CrTurretCeiling02,Mark III Turret,,,unknown,Creatures\MiniSentryTurret\Skeleton.nif,RobotEyebot [VTYP:00040D41],CrTurretCeiling01 [CREA:000A84B8],0,3,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A84BB,FalloutNV.esm,000A84BB,000A84BB,TaleOfTwoWastelands.esm,CrTurretCeiling03,Mark V Turret,,,unknown,Creatures\MiniSentryTurret\Skeleton.nif,RobotEyebot [VTYP:00040D41],CrTurretCeiling01 [CREA:000A84B8],0,3,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A8732,FalloutNV.esm,000A8732,000A8732,TaleOfTwoWastelands.esm,LvlMirelurkAmbush,,,,unknown,,,EncMirelurk [LVLC:000235A2],0,0,0,1,false,false,exclude_not_actor,Ambient/scenery actor or record without a usable identity.,
FalloutNV.esm|000A8A5C,FalloutNV.esm,000A8A5C,000A8A5C,FalloutNV.esm,LvlTurretCeiling384,,,,unknown,,,EncTurretCeiling [LVLC:000A8A5D],0,0,0,4,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000A9268,FalloutNV.esm,000A9268,000A9268,TaleOfTwoWastelands.esm,AudioTemplateBrahminPack,AudioTemplateBrahminPack,,,unknown,Creatures\Brahmin\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,46,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|000AB801,FalloutNV.esm,000AB801,000AB801,TaleOfTwoWastelands.esm,GenericVaultProtectron,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectronDC [VTYP:06019FDA],CrProtectronDC [CREA:0601CF8F],0,0,18,21,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000ABD6F,FalloutNV.esm,000ABD6F,000ABD6F,FalloutNV.esm,LvlTurretCeiling768Raider,,,,unknown,marker_creature.nif,,LvlTurretCeiling768 [CREA:000251A4],0,0,0,7,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
