topic,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
regulators,,,"The Regulators are a faction in the Capital Wasteland dedicated to bringing evildoers to justice. They appeared within the last ten years and are led by Sonora Cruz, operating out of their headquarters. Megaton sheriff Lucas Simms is counted among their members. The Regulators pursue those with evil reputations and offer bounties for proof of wrongdoers' deaths.",,,faction
"reillys_rangers,Reilly's Rangers",,,"Reilly's Rangers is a mercenary faction operating in the Capital Wasteland, based at the Ranger Compound near Seward Square. The group was founded by Reilly when she was twenty-six years old and has built a reputation as guns for hire who operate under a code of ethics and strive to help people. This moral stance has put them at odds with fellow mercenary group Talon Company, whom they view as lacking any such code. The Rangers have taken on contracts to map Washington, D.C.",,,faction
slavers,,,"The slavers are a faction operating out of Paradise Falls in the Capital Wasteland, with a long history of capturing wastelanders for profit. Under past leaders like Harmon Jurley and Penelope Chase, they overran settlements such as Rockopolis and sold its citizens to the Pitt. Currently led by Eulogy Jones, the slavers are paid on commission and traffic their captives either to local buyers or wealthier regions outside the Capital Wasteland. Small teams roam the wilderness hunting for slaves, while a growing abolitionist movement has begun to threaten their trade.",,,faction
sudden_death_overtime,,,"Sudden-Death Overtime is a mercenary gang operating in the Capital Wasteland around 2277. The group is led by Goalie Ledoux and includes members Centre Dubois, Winger Gervais, and Winger Mercier. They are obsessed with the pre-War sport of ice hockey, though their understanding of it is deeply flawed, as they refer to themselves as an ice gang and believe the primary purpose of the sport was fighting rather than scoring goals. Ledoux and his crew use hockey terminology in their speech, referencing face-offs and crossing sticks.",,,faction
talon_company,,,"Talon Company is the largest mercenary organization active in the Capital Wasteland, with operatives found throughout the region. They are hostile to most groups on sight and prioritize cash and loot above all else, hiring themselves out to anyone willing to pay. The group works for an unknown benefactor charged with keeping the Capital Wasteland a lawless place, and their ruthlessness is well documented-Reilly of Reilly's Rangers reports that they killed an entire settlement a year or two ago. Their headquarters displays a flag depicting a large bird with a skull carrying away a crying baby, and they maintain artillery support teams deployed in Seward Square and Takoma Park.",,,faction
tenpenny_tower_security,,,"Tenpenny Tower Security is a group of mercenaries hired by Mister Burke to protect Tenpenny Tower, the upscale residential high-rise in the Capital Wasteland. They serve as the tower's armed enforcement, screening visitors and maintaining order within the settlement's walls. The security personnel are generally regarded as little more than hired guns, distinguished by their uniforms and the authority granted to them by the tower's leadership. Their presence ensures that the wealthy residents of Tenpenny Tower remain insulated from the dangers of the wasteland outside.",,,faction
the_family,,,"The Family is a group of nocturnal cannibals who identify as vampires and dwell in Meresti Metro Station east of Arefu. Vance leads them, teaching members to restrain their hunger for human flesh and consume only blood, framing their cannibalism as a wasteland survival adaptation. Prospective members meditate in solitude before joining and must follow the group's rules. The Family repeatedly raids Arefu and recently captured Ian West, an Arefu resident overwhelmed by cannibalism after killing his parents.",,,faction
treeminders,,,"The Treeminders are a peaceful religious cult that inhabits and protects Oasis, a verdant vale in the northern Capital Wasteland, where they worship a being they call the Great One, the One Who Grows, the One Who Gives, and the One Who Guides. The Great One is in fact Harold, an FEV mutant who took root in the late 2250s after a tree grew from his head and consumed his body, and whose presence transformed the barren hillside into a lush haven of plant and animal life. The group was founded by a wanderer who took the name Tree Father Birch after he discovered Harold and resolved to protect him from exploitation by others who might seek to do him harm. The Treeminders follow a loose hierarchy led by the Tree Father and Leaf Mother, with branchtenders serving as guardians, bloomseers as healers and interpreters of premonitions, and saplings as the youngest members still learning the ways of Oasis.",,,faction
vault_101_security,,,"Vault 101 Security is the law enforcement division of Vault 101, operating from a centralized office on the upper level. They are the only inhabitants permitted to carry 10mm Pistols and police batons, wearing helmets, armor, utility jumpsuits, and Pip-Boy 3000s. Officers like Kendall are known to patrol the vault and respond to disturbances such as radroach infestations.",,,faction
"alpha_team,1st Recon Alpha Team",,,"The Alpha Team, also known as the 1st Recon Alpha Team, is a division of the New California Republic Army stationed at Camp McCarran. For six months, they have been fighting against the Fiends who have committed acts of violence in the surrounding area. The team is led by Gorobets and includes members such as 10 of Spades, Betsy, Corporal Sterling, and Sergeant Bitter-Root.",,,faction
boomers,,,"The Boomers are an isolationist tribe living at Nellis Air Force Base, descended from Vault 34 dwellers who rebelled against their overseer and escaped with the vault's armory. They earned their nickname from outsiders due to their reverence for explosives, which forms the foundation of their culture and ideology. Led by Mother Pearl and a council of elders including Master-At-Arms Raquel, the Boomers maintain a self-sufficient community with schools, a museum, greenhouses, and solar power. They are deeply paranoid and hostile to outsiders, using artillery and spotters to guard their perimeter, and forbid their own members from leaving Nellis.",,,faction
bright_brotherhood,,,"The Bright Brotherhood is a religious cult of ghouls based in the REPCONN Test Site west of Novac. Led by the prophetic Glowing One Jason Bright, the group worships a figure known as The Creator and seeks to escape the bigotry of humans by embarking on a ""Great Journey"" to a promised land using repaired REPCONN rockets. Their ranks also include a single human named Chris Haversam, who fully believes himself to be a ghoul. The Brotherhood is currently hindered by a nightkin invasion in their facility, as the super mutants are convinced the ghouls are hoarding a shipment of Stealth Boys.",,,faction
"caesars_legion,Caesar's Legion",,,"Caesar's Legion is a large slaving empire founded in 2247 by Edward Sallow, also known as Caesar, and Joshua Graham, the Malpais Legate. Modeled after ancient Rome, the Legion erases tribal identities to forge a unified warrior culture that controls Arizona, New Mexico, and parts of Utah and Colorado. By 2281, the Legion has expanded into the Mojave Wasteland, establishing a base at Fortification Hill and clashing with the New California Republic over Hoover Dam. The Legion forbids chems and alcohol, treats women as breeding stock, and punishes homosexuality with death, while its citizens believe Caesar rules by divine right as the son of Mars.",,,faction
cassidy_caravans,,,"Cassidy Caravans is a small caravan company founded and owned by Rose of Sharon Cassidy, commonly known as Cass, in the Mojave Wasteland. Despite its modest size, the company became a notable competitor to larger outfits like the Crimson Caravan by securing consistent trade with core customers such as the New California Republic. Cass established the business after realizing her nomadic wanderings between settlements could be turned profitable, eventually hiring additional staff to handle deliveries along her routes. The company persisted through the brutal caravan conflicts that plagued the Mojave, but in 2281 a covert attack staged by the Van Graffs in collusion with Crimson Caravan manager Alice McLafferty destroyed the caravan and its cargo, leaving Cassidy Caravans with little to its name and Cass stranded at the Mojave Outpost trying to clear her papers.",,,faction
"chairmen,Mojave Boot-Riders",,,"The Chairmen are one of the Three Families that operate casinos on the New Vegas Strip under the employ of Mr. House. Originally a nomadic warrior tribe called the Mojave Boot-Riders, they accepted House's offer to come to Vegas after their leader Bingo was killed in a duel by Benny, who supported the arrangement. Upon arriving, the tribe was given control of The Tops casino and renamed the Chairmen.",,,faction
dead_horses,,,"The Dead Horses are a tribe living in Zion Canyon, descended from refugees from Res, east of the Grand Canyon. They speak a language combining their own with that of travelers present during the Great War. They reside at Dead Horse Point and consider pre-War areas taboo, marked with white hand prints. The tribe hunts bighorners for food, commemorating hunts and special occasions with tattoos, while being mindful of the environment.",,,faction
enclave_remnants,,,"The Enclave Remnants are scattered veterans of the West Coast Enclave living in the Mojave Wasteland. After the destruction of the Poseidon Energy Oil Rig, some Enclave members retreated to Camp Navarro, but a New California Republic offensive forced them to flee and attempt to integrate into society while avoiding bounty hunters, NCR forces, and the Brotherhood of Steel. The surviving members eventually settled in and around the Mojave, stashing their old equipment in a hidden bunker that once served as a refueling station. Their former commanding officer, Judah Kreger, maintained the group's connection over the years, though he no longer issues orders.",,,faction
fiends,,,"The Fiends are a raider gang composed entirely of chem addicts operating in the Mojave Wasteland around New Vegas. After killing the inhabitants of Vault 3, they claimed the facility as their base and grew strong enough to control a large part of the southwestern New Vegas conurbation. The group is led by Motor-Runner, Violet, Cook-Cook, and Driver Nephi, and they attack anyone on sight except the Great Khans, who supply them with chems. The NCR seeks to eliminate the Fiends but is limited to holding defensive lines, while Caesar's Legion views their drug dependence with contempt and the Omertas consider them bad for business due to their theft of weapon shipments and kidnapping of locals.",,,faction
"followers_of_the_apocalypse,Followers",,,"The Followers of the Apocalypse, often called simply the Followers, are a humanitarian organization founded by former vault dwellers and others who originally lived near the Glow in San Diego. Led by Nicole, who lost her parents during the group's migration north, the Followers were established on the principle of ending cycles of violence by sharing knowledge and resources freely. They are not a religious group but are guided by a set of ideals centered on education, medicine, and research, with the aim of rebuilding civilization to its pre-War state. By 2280, the Followers maintained outposts in every major city within the New California Republic, with their headquarters at the Boneyard Library, and a regional hub at the Old Mormon Fort in the Mojave Wasteland under administrator Julie Farkas.",,,faction
great_khans,,,"The Great Khans are a raider tribe based in Red Rock Canyon in the Mojave Wasteland. Descended from the New Khans of California, the tribe migrated east under Papa Khan and clashed with the New California Republic, culminating in the Bitter Springs Massacre. The surviving Khans resettled in Red Rock Canyon, where they sustain themselves through chem production and trafficking, trading with nearby Fiends and Westside residents. Papa Khan seeks an alliance with Caesar's Legion to oppose the NCR and restore the tribe's glory, though the Legion intends to absorb the Khans after using them.",,,faction
"the_kings,Kings of Freeside",,,"The Kings are a gang operating in Freeside, the area outside the New Vegas Strip gates, sometimes called the Kings of Freeside by NCR citizens. They follow The King, the most powerful individual in Freeside, and copy the mannerisms and looks of the individual the King's School of Impersonation was founded to emulate. The gang works alongside the Followers of the Apocalypse to keep Freeside peaceful and independent, defending the area against squatters and thugs while running the water pump installed by Bill Ronte of the Followers. The Kings believe that every man is free to follow his own path and that no one has the right to trample on the freedoms of others, though tensions have risen as New California Republic citizens move into the area, causing conflict with locals.",,,faction
mojave_express,,,"The Mojave Express is a delivery company that emerged alongside the NCR's eastward expansion, carrying letters and packages across the vast distances of the American Southwest. It maintains offices in The Hub, where couriers are hired, and in Primm within the Mojave Wasteland. The company operates dropboxes at several locations throughout the Mojave, including Goodsprings, Novac, Freeside, and the New Vegas Strip, allowing for the transfer of items between distant points. By 2280, the Mojave Express had not yet extended its reach as far as New Reno.",,,faction
"new_california_republic,NCR",,,"The New California Republic, often abbreviated as the NCR, is a large democratic nation spanning portions of the American southwest. Founded by Vault dwellers who established the settlement of Shady Sands, the republic grew to encompass five states and a population of over 700,000 citizens. Dedicated to the rule of law, the nation outlaws practices like slavery and maintains a standing army, currency, and court system. Under the leadership of President Aaron Kimball, the NCR continues to expand its influence into the Mojave Wasteland, though some tribes know them as the Sunset People.",,,faction
omertas,,,"The Omertas are one of the Three Families of the New Vegas Strip, running the Gomorrah casino under the leadership of Nero and his right-hand man Big Sal, with underboss Cachino handling lesser tasks. Before Mr. House recruited them, they were the Slither Kin, a nomadic tribe that lured travelers into camp, drugged them, and murdered or enslaved them. The Omertas run scams, extortion, and prostitution from Gomorrah, keeping workers dependent through chem addiction and ruthlessly pursuing unpaid debts.",,,faction
"powder_gangers,Powder Gangsters",,,"The Powder Gangers, sometimes called Powder Gangsters, are a gang of escaped prisoners operating in the Mojave Wasteland. They originated from a prison break at the NCR Correctional Facility, where inmates were previously forced to maintain a railroad under military supervision. Led by Samuel Cooke, the prisoners overwhelmed the guards and dispersed into various groups, with some taking over the facility under Eddie and others joining Cooke in Vault 19. Known for their heavy use of dynamite, they have disrupted local infrastructure by shutting down Highway 93 and Quarry Junction.",,,faction
sorrows,,,"The Sorrows are a peaceful tribe living in Zion Canyon, known for their hunting and fishing-based culture rather than a warrior tradition. Their signature weapon is the Yao Guai Gauntlet, crafted during a rite of passage where young members hunt and kill a Yao Guai. The Sorrows worship a spirit known as the Father in the Cave, who provided gifts and guidance to the original Sorrows, a group of children who escaped a place called The School. Their shaman White Bird oversees religious rites, and the tribe believes that when they die, the river carries their water to the next life to be with the Father.",,,faction
state_of_utobitha,,,"The State of Utobitha is a faction of Super Mutants and Nightkin occupying Black Mountain in the Mojave Wasteland, founded and ruled by the Nightkin Tabitha, who styles herself supreme commander. Black Mountain was originally settled peacefully by first generation Super Mutants led by Marcus, but an influx of Nightkin and second generation Super Mutants drove Marcus and his followers away to found Jacobstown, leaving Tabitha in control. Tabitha broadcasts propaganda and orders to kill humans on sight over Black Mountain Radio, describing Utobitha as a utopian society for mutants, though Nightkin receive preferential treatment. The inhabitants are hostile to outsiders, wary of the NCR and Caesar's Legion, and maintain their weapons and scrap-built shelters, though they struggle to keep the communications outpost running without outside mechanical help.",,,faction
the_misfits,,,"The Misfits are a small squad of New California Republic Army troopers assigned to 9th Platoon at Camp Golf in 2281. Their commanding officer, Sergeant McCredie, is frustrated by their poor discipline, work ethic, and camaraderie, though he retains some faith in the squad's informal leader, Mags. Each member of the Misfits serves with ulterior motives or under duress rather than genuine dedication. Mags originally sought to become an NCR Ranger but was unable to do so and settled for the regular army.",,,faction
van_graffs,,,"The Van Graffs are a prominent merchant house and crime family operating out of Redding, dealing primarily in energy weapons and high-value commodities. Founded by a ruthless matriarch who relies on her ten children to manage her mercantile empire, the family has a long history of clashing with the New California Republic. By 2281, they have expanded into the Mojave Wasteland, taking over the Silver Rush casino in Freeside under the management of Gloria Van Graff. To secure a lucrative defense contract with the NCR, Gloria orchestrates a trap against Caesar's Legion while simultaneously forming a covert alliance with the Crimson Caravan to undercut local competitors.",,,faction
vipers,,,"The Vipers are an aggressive tribe of raiders originating from Vault 15, founded by Jonathan Faust after a quasi-religious experience involving a pit of vipers that led to their worship of snakes and the foundation of their religion, The Winding Way of the Great Snake. Their faith involves a caste system of priests and warriors, rites using viper venom to evoke visions, and a deity known as the Great Snake or God of the Pit, to whom Faust claimed regular sacrifices were demanded. Faust led the Vipers for 28 years until his death during a raid on the Brotherhood of Steel, after which both the Brotherhood and the New California Republic hunted the Vipers nearly to extinction, fracturing the survivors into small clans that resorted to opportunistic raiding across the Mojave. By 2280, the remaining Vipers had become known for raiding around the New Reno area and occupying territory east of Vegas, though much of their original culture had been lost, with many acting merely as gunslingers rather than religious fanatics.",,,faction
"westside_cooperative,Westside Co-op",,,"The Westside Cooperative, sometimes called the Westside Co-op, is a tight-knit community faction based in the fortified Westside zone of the Mojave Wasteland. Founded by New Reno immigrant Clayton Ettienne and local farmers, the organization pools resources to grow crops for sustenance and sells surplus produce to travelers and larger factions. With the help of engineer Tom Anderson and the Followers of the Apocalypse, the group refurbished an old commercial building to house their farming operation and a grocery store managed by Ettienne. The Cooperative shares its earned caps among the farmers, though it currently faces tense negotiations with the NCR over the siphoning of their water supplies.",,,faction
white_glove_society,,,"The White Glove Society is one of the Three Families responsible for operating the Ultra-Luxe casino on the New Vegas Strip. Originally a cannibalistic tribe, they were employed by Mr. House and agreed to abandon their tribal identity and cannibalism in exchange for him concealing their former name. The society maintains an atmosphere of refinement and mystery, with members wearing formal wear and masks while providing the Strip's most elite casino experience.",,,faction
white_legs,,,"The White Legs are a post-war tribal group originally from the ruins of Salt Lake City, known for raiding and scavenging throughout the Great Basin and Colorado Plains. They periodically raided northeast of Caliente until the Desert Rangers were absorbed into the NCR, after which they regularly raided the stretch of I-15, causing travelers to avoid the area. After the Legion's defeat at the First Battle of Hoover Dam, Caesar ordered New Canaan destroyed and the White Legs, intent on joining the Legion, were given a rite of passage to eradicate the city. Ulysses helped teach the White Legs to wage war, leading them to an armory near Spanish Fork where they discovered large submachine guns they call storm drums, which became their signature weapon.",,,faction
"united_states,U.S.A",,,"The United States, also known as America or the U.S.A., was a pre-War global superpower and the primary setting of the Fallout series. Before the Great War on October 23, 2077, the nation was governed by a President and Congress, with the United States Armed Forces serving as its unified military. Following the devastating nuclear exchange, the country ceased to exist as a centralized political entity, fracturing into a collection of independent settlements and successor states. Remnants of its government and culture, such as the Enclave, continue to influence post-War society across the former territories.",,,location
adams_air_force_base,,,"Adams Air Force Base is a former pre-War military installation located outside the Capital Wasteland, accessible via the Presidential Metro. After the Great War, the Enclave occupied the facility and made use of its Mobile Base Crawler, a large mobile research platform. The base served as a fortified Enclave compound and, following the loss of Raven Rock, became a key fallback position for the organization's remaining forces in the region. The facility housed Enclave soldiers, scientists, Vertibird support infrastructure, and research operations on Wasteland creatures, including caged Deathclaws.",,,location
anacostia_crossing_station,,,"Anacostia Crossing Station is a Metro station and the southernmost stop on the Red Line, situated directly north of Rivet City. The station entrance lies just north of the tower platform that links the Rivet City access bridge to the riverbank. Below, the station is inhabited by lightly armed raiders who have established an encampment behind sandbag barricades on the raised central platform. The tunnels of Anacostia Crossing allow transit to The Mall and Seward Square, and a Super Mutant camp rests just west of the station, overlooking the Jefferson Memorial.",,,location
anchorage_memorial,,,"The Anchorage Memorial is a monument located on an island in the Potomac River within the Capital Wasteland, commemorating the Battle of Anchorage in Alaska. After the Great War, wastelanders herded mirelurks into the facility and established a meat processing operation, selling mirelurk meat to passing traders for caps. A competitor hired mercenaries who released the mirelurks, resulting in the creatures killing the facility's inhabitants. The memorial contains multiple structural levels, including living quarters, offices, and underground maintenance areas now infested with mirelurks and their nests.",,,location
arefu,,,"Arefu is a small settlement in the Capital Wasteland situated on an overpass bridge spanning the Potomac River northwest of Vault 106. It serves as a stopping point on the trading caravan circuit and is the last stop on most trade routes from Megaton. In recent years, the settlement's population has dwindled from thirty down to only five residents. To maintain security, the inhabitants destroyed the northern span of the bridge, leaving only a single entrance to defend against the dangers of the wasteland.",,,location
bethesda_ruins,,,"The Bethesda Ruins are the remains of a major pre-War town located northwest of Washington, D.C., formerly served by metro and highway systems. The ruins are divided into Bethesda Offices West, Bethesda Offices East, and the Bethesda Underworks. Prior to the Great War, the city featured a local park named after its largest employer where residents regularly played baseball. By 2277, the area is heavily barricaded and inhabited by hostile Raiders and Feral Ghouls.",,,location
big_town,,,"Big Town is a makeshift settlement in the Capital Wasteland located north of Vault 101 and southeast of the Moonbeam Outdoor Cinema. It is surrounded by barricades and a makeshift moat, accessible only by a bridge at the north end, with walls built from cars, debris, and rubble. The population consists mostly of teenagers and young adults who were expelled from Little Lamplight upon turning sixteen, having been told that Big Town was a safe and comfortable place for mungos to live. The settlement has been ravaged by Super Mutant and Slaver attacks, and some residents have been kidnapped by Super Mutants and taken to the old police station in Germantown.",,,location
canterbury_commons,,,"Canterbury Commons is a small trading post and town on the eastern edge of the Capital Wasteland, founded by Uncle Roe and his sister Daisy as a trading center for caravan merchants. Raider attacks killed Daisy and her husband Louis, leaving Roe to maintain the settlement with his nephew Derek Pacion. The town is currently caught in a conflict between two self-styled superhumans: Tanya Christoff, known as the AntAgonizer, who seeks to destroy Canterbury Commons believing it a blight on the wasteland, and Scott Wollinski, who adopted the Mechanist persona to defend the town after the AntAgonizer destroyed his favorite robot. The settlement's only permanent merchant is Joe Porter, who operates out of an old Dot's Diner, while Dominic and Machete live in an adjacent garage and Roe resides in the old fire station.",,,location
"capital_wasteland,Capital Region",,,"The Capital Wasteland, also called the Capital Region, encompasses the ruins of Washington, D.C. and surrounding areas, stretching from Raven Rock in the northwest to Rivet City in the southeast. During the Great War, the area received advanced warning after the west coast was destroyed, but those unable to secure space in vaults sought shelter in metro tunnels, museums, and other alternate shelters, while insufficiently equipped National Guard aid stations led to desertion and high mortality. By 2277, settlements such as Megaton, Canterbury Commons, Arefu, and the Republic of Dave dotted the landscape, connected by trade caravans, and Elder Lyons' Brotherhood of Steel had established a base at the Citadel to combat the Super Mutant threat and protect scientists working on Project Purity.",,,location
chaste_acres_dairy_farm,,,"Chaste Acres Dairy Farm is the ruin of a small farm in the northeastern Capital Wasteland, situated southwest of the Republic of Dave. The site has been taken over by a group of raiders, who frequently find themselves under attack by roaming creatures such as robots, yao guai, giant radscorpions, or even deathclaws. The farm includes a grain silo with a sniper position above and a barn containing a corpse on the second floor. A Nuka-Cola delivery truck sits straight west of the farm, and a note about it can be found in Old Olney.",,,location
chryslus_building,,,"The Chryslus Building is a ruined office building on the outskirts of Washington, D.C. in the Capital Wasteland. It was once the headquarters of Chryslus Motors, the pre-War automobile manufacturer, and included a baseball field constructed outside for employee use. Since the Great War, the building has fallen into considerable ruin and become a stronghold occupied by Super Mutants and Centaurs.",,,location
clifftop_shacks,,,"Clifftop Shacks are a fortified encampment perched on a cliff southeast of Oasis in the Capital Wasteland. The site consists of a small plateau bearing three shacks, two of which remain accessible, reachable by an uphill path on the eastern side and a suspension bridge on the western side. The encampment is inhabited by Super Mutants, who have festooned the area with gore bags, and at times Centaurs can be found among them. The northern shack holds a collection of ruined books and a skeleton resting on a bloodied bed, while the southern shack contains makeshift bedding along with the remains of a raider and a wastelander.",,,location
corvega_factory,,,"The Corvega Factory is a pre-War Corvega facility southwest of Vault 108 in the Capital Wasteland that manufactured vehicles used throughout the United States. It is now home to a colony of giant ants, including a giant ant queen at the southern end of the factory. The factory also contains the bodies of mercenaries and raiders who failed to reach the queen, along with a small number of feral ghouls.",,,location
county_sewer_mainline,,,"The County Sewer Mainline is a tunnel system in the Capital Wasteland that can be entered from the Sewer Waystation or a sewage grate along the Potomac north of a raider camp near the Key Bridge. It runs beneath Grayditch and Arlington National Cemetery but offers no access points at either location. The tunnels are home to a hostile ghoul named Gallo, who keeps a small Nuka-Cola collection and a pen of radroaches in his room past a series of traps. Feral ghouls and radroaches occupy much of the sewer management area, and the remains of dead mercenaries and wastelanders litter the passages throughout.",,,location
deathclaw_sanctuary,,,"The Deathclaw Sanctuary is a cave maze in the Capital Wasteland, located between Dickerson Tabernacle Chapel and Broadcast Tower KB5. It is home to numerous Deathclaws and contains piles of maimed bodies and body parts, serving as both a nest and storage place. The interior is dark and maze-like, with twisting tunnels and large obstructions making it one of the most dangerous places in the region. Outside the sanctuary, a small overhang conceals a dead mercenary and a footlocker, while Deathclaws guard the entrance.",,,location
dunwich_building,,,"The Dunwich Building is an office building located at the southwesternmost edge of the Capital Wasteland, south of Girdershade and far west of Tenpenny Tower. Before the Great War, it was owned by Dunwich Borers LLC, a company that manufactured rock drills for tunneling and drilling operations. After the war, the building remains standing and is known among wastelanders as a place of bad mojo, with reports of strange phenomena such as self-opening doors, unexplained footsteps, flickering lights, and disturbing hallucinations. The interior is divided into three sections: the entrance, the Forsaken Dunwich Ruins, and the Virulent Underchambers, all of which are infested with feral ghouls.",,,location
"galaxy_news_radio,GNR",,,"Galaxy News Radio, often abbreviated as GNR, was a pre-War radio station based in Washington, D.C. and a subsidiary of Galaxy News Network, originally broadcasting on 103.8 FM with programs such as Mornings with Marie. In the Capital Wasteland, the station has been repurposed by Three Dog from the GNR Building Plaza, who reports on happenings around the region with the help of a technician named Margaret. Three Dog operates the station as part of what he calls the ""Good Fight,"" his attempt to inform inhabitants how ""things really are"" and expose the Enclave's true intentions. The station plays a combination of Three Dog's commentary and twenty songs from records found in playable condition, though its signal quality is poor due to a relay dish on the Washington Monument that was destroyed when a Super Mutant shot it to pieces.",,,location
greener_pastures_disposal_site,,,"The Greener Pastures Disposal Site is one of the largest radioactive areas in the Capital Wasteland, located northwest of the Temple of the Union, southwest of Old Olney, and northeast of the MDPL-13 Power Station. Before the Great War, Greener Pastures was an infamous radioactive waste-disposal plant that was in reality a dumping ground for all kinds of toxic waste, liberally stored in the open without any containment or deactivation. It became one of the biggest environmental disasters in recorded history, incurring several casualties and serving as a frame of reference for potential future disasters. The site is now a vast barren landscape dotted with puddles of radioactive nuclear waste, inhabited by mutated creatures such as Yao Guai, Radscorpions, and Radroaches.",,,location
hamilton_s_hideaway,,,"Hamilton's Hideaway is a small cave in the Capital Wasteland that was originally built as an unfinished bomb shelter for a family of three who distrusted Vault-Tec. After the Great War, the network of tunnels became a hideout for chem smugglers. According to Evan King, it is one of three possible locations where a group known as The Family might reside. The cave is inhabited by various creatures such as radscorpions and radroaches, as well as raiders, and contains a hidden weapons cache.",,,location
jefferson_memorial,,,"The Jefferson Memorial is a monument in the Capital Wasteland that was selected as the site of Project Purity, an initiative led by James to convert the memorial into a water purifier capable of cleansing the river's water of radiation for use by wasteland residents. The project was abandoned after James' wife Catherine died giving birth to their child, only to be picked up again some twenty years later. The statue of Thomas Jefferson remains submerged within the center of the facility, surrounded by the purifier infrastructure built around it. The memorial contains five interior sections accessible through the gift shop doors, though the exterior is known to be patrolled by Super Mutants.",,,location
"l_o_b_enterprises,L.O.B",,,"L.O.B. Enterprises was a pre-war weapons manufacturer located in Falls Church at 18527 Fairford Drive. The company secretly developed an incendiary weapon known as the Zhu-Rong v418 Chinese Pistol under a program called Project Zhu-Rong. Employees were heavily armed and trained for a potential federal invasion or nuclear exchange, even being sworn into a so-called sovereign L.O.B.",,,location
little_lamplight,,,"Little Lamplight is an underground settlement in the Capital Wasteland, founded on January 26, 2078, by child survivors of the Great War who were abandoned by their adult caretakers. Located within the pre-War Lamplight Caverns tourist attraction, the community is populated entirely by children under the age of 16, who exile or kill any resident who reaches their 16th birthday, referring to them as 'mungos.' The settlement is governed by an elected mayor, a position held by Robert MacCready in 2277. The children of Little Lamplight hold a deep-seated antipathy toward adults, a sentiment rooted in their community's founding, when the last remaining adult survivor left the children to fend for themselves shortly after the Great War. The settlement's layout includes the Great Chamber, which serves as the primary living area, and features structures such as the Spelunkers restaurant, the Souvenir Shop, and the Little Lamplight Office Building, which houses the medical office and school.",,,location
mdpl_13_power_station,,,"The MDPL-13 Power Station is a derelict power plant in the Capital Wasteland, located north-northwest of Minefield. It consists of a main derelict power plant building with three tall chimneys and a smaller power substation to the west. The main building contains a lobby, a plant floor with feral ghouls and radiation pockets, catwalks, and an office with a Glowing One. The substation contains a workbench and safe.",,,location
mama_dolce_s,,,"Mama Dolce's is a food processing plant in the Capital Wasteland, accessible through Arlington Metro Station or the Arlington Falls Church Metro in Falls Church. The facility is divided into three parts: a processed foods area, a food distribution center, and a loading yard connecting them. Despite its outward appearance as an ordinary food manufacturer, Mama Dolce's actually served as a front for Chinese intelligence and espionage operations throughout the D.C. area, a fact revealed through encrypted terminal records.",,,location
mason_dixon_salvage,,,"Mason Dixon Salvage is a salvage yard in the northern Capital Wasteland, located northwest of Paradise Falls and near Drowned Devil's Crossing. The site consists of two rusted metal shacks on its east and west ends, with three overturned trailers situated south of the western shack. It has been occupied as a camp by Super Mutants and their Centaur companions, making it a hazardous area for any wasteland traveler. A captive is held at the location, and a Deathclaw has been known to roam the small hill nearby.",,,location
megaton,,,"Megaton is a fortified settlement in the Capital Wasteland built around a crater containing an undetonated atomic bomb. Founded by people denied entry to Vault 101, the town grew into a trade hub protected by walls made from scavenged aircraft debris. Lucas Simms serves as the self-appointed sheriff, while Colin Moriarty runs the local saloon and keeps tabs on town affairs. The Church of the Children of Atom worships the central bomb, and the settlement maintains contact with Vault 101 through ambassadors established during a 2241 expedition.",,,location
"metro_central,Metro Center",,,"Metro Central, also called Metro Center, is the largest station in the Capital Wasteland's underground metro system, located beneath Washington, D.C. where the Red and White lines cross. No faction controls it; instead, feral ghouls and vicious dogs infest the tunnels. Raiders, Talon Company mercenaries, and the feral ghouls have fought several skirmishes over the station, leaving corpses and barricades throughout.",,,location
mothership_zeta,,,"Mothership Zeta is an alien vessel orbiting Earth that is known to abduct surface dwellers using its transporter technology. The ship holds prisoners taken across centuries, including people from before the Great War and even an astronaut, many of whom are kept in cryogenic storage. Its interior includes laboratories, robotics facilities, hangars, and a bridge equipped with a powerful energy weapon. The ship is associated with the crashed alien recon craft sometimes called Recon Craft Theta found in the Capital Wasteland.",,,location
"my_megaton_house,Empty House",,,"An empty residence in Megaton, known as the Empty House, sits unoccupied until its ownership is transferred. Sheriff Lucas Simms, or his son Harden Simms if the sheriff is deceased, can grant the key to this house as a reward for disarming the central atomic bomb. Once claimed, the dwelling is renamed My Megaton House. The home features a main floor lounge, kitchenette, upstairs landing, bedroom, and an additional room often occupied by a robot butler named Wadsworth.",,,location
northwest_seneca_station,,,"Northwest Seneca Station is a collapsed metro station in the Capital Wasteland, situated just north of Arefu on the opposite bank of the river. According to Evan King, it is one of three possible locations where the group known as The Family might be living. The station's accessible sections include a mole rat-infested restroom area and a converted maintenance room serving as a lab for a ghoul named Murphy and his assistant Barrett. An irradiated sewer tunnel leads from the station through the Meresti Service Tunnel to Meresti Metro Station, where The Family maintains their hideout.",,,location
